condition,dataset_source,hours_after_sunset,bat_landing_to_food,seconds_after_rat_arrival,metric_type,bat_landing_number,food_availability
rat_present,individual_events,1.870833333,16.0,108.0,individual_behavior,,
control,individual_events,3.100833333,0.074015603,17.0,individual_behavior,,
control,individual_events,3.1075,4.0,41.0,individual_behavior,,
rat_present,individual_events,3.126944444,10.0,111.0,individual_behavior,,
rat_present,individual_events,3.15,15.0,194.0,individual_behavior,,
rat_present,individual_events,3.155833333,24.0,215.0,individual_behavior,,
rat_present,individual_events,3.166388889,13.0,253.0,individual_behavior,,
rat_present,individual_events,4.684444444,15.0,88.0,individual_behavior,,
control,individual_events,4.691388889,6.0,113.0,individual_behavior,,
control,individual_events,4.693611111,3.0,121.0,individual_behavior,,
control,individual_events,4.695555556,5.0,128.0,individual_behavior,,
control,individual_events,4.7025,6.0,153.0,individual_behavior,,
rat_present,individual_events,4.717777778,10.0,208.0,individual_behavior,,
rat_present,individual_events,4.72,1.0,216.0,individual_behavior,,
rat_present,individual_events,8.8725,2.0,37.0,individual_behavior,,
control,individual_events,4.2375,5.0,199.0,individual_behavior,,
control,individual_events,4.248611111,1.0,239.0,individual_behavior,,
control,individual_events,2.868888889,1.0,14.0,individual_behavior,,
rat_present,individual_events,2.876111111,2.0,40.0,individual_behavior,,
rat_present,individual_events,2.883888889,26.0,68.0,individual_behavior,,
rat_present,individual_events,3.009722222,5.0,521.0,individual_behavior,,
rat_present,individual_events,3.021666667,15.0,564.0,individual_behavior,,
rat_present,individual_events,3.033611111,24.0,607.0,individual_behavior,,
control,individual_events,11.26277778,2.0,107.0,individual_behavior,,
control,individual_events,11.3325,2.0,358.0,individual_behavior,,
control,individual_events,11.46972222,1.0,852.0,individual_behavior,,
control,individual_events,6.591111111,0.049410419,12.0,individual_behavior,,
control,individual_events,6.591666667,1.0,14.0,individual_behavior,,
rat_present,individual_events,6.601388889,6.0,49.0,individual_behavior,,
control,individual_events,6.606666667,3.0,68.0,individual_behavior,,
rat_present,individual_events,6.611111111,8.0,84.0,individual_behavior,,
rat_present,individual_events,6.621666667,31.0,122.0,individual_behavior,,
control,individual_events,6.639444444,0.010695699,186.0,individual_behavior,,
control,individual_events,6.651944444,2.0,231.0,individual_behavior,,
control,individual_events,6.656111111,1.0,246.0,individual_behavior,,
control,individual_events,6.658055556,9.0,253.0,individual_behavior,,
control,individual_events,6.686388889,6.0,355.0,individual_behavior,,
control,individual_events,11.1975,11.0,742.0,individual_behavior,,
control,individual_events,9.108333333,2.0,115.0,individual_behavior,,
rat_present,individual_events,2.522777778,3.0,195.0,individual_behavior,,
control,individual_events,5.168333333,1.0,168.0,individual_behavior,,
control,individual_events,6.673888889,4.0,113.0,individual_behavior,,
rat_present,individual_events,11.32222222,1.0,306.0,individual_behavior,,
control,individual_events,2.770833333,1.0,9.0,individual_behavior,,
rat_present,individual_events,2.895,1.0,456.0,individual_behavior,,
rat_present,individual_events,2.915,0.035319187,528.0,individual_behavior,,
rat_present,individual_events,2.916666667,1.0,534.0,individual_behavior,,
rat_present,individual_events,2.919722222,7.0,545.0,individual_behavior,,
control,individual_events,2.921388889,1.0,551.0,individual_behavior,,
control,individual_events,2.926388889,0.034803066,569.0,individual_behavior,,
rat_present,individual_events,2.930277778,1.0,583.0,individual_behavior,,
control,individual_events,2.931944444,1.0,589.0,individual_behavior,,
control,individual_events,2.9425,2.0,627.0,individual_behavior,,
control,individual_events,2.943611111,1.0,631.0,individual_behavior,,
control,individual_events,2.946666667,4.0,642.0,individual_behavior,,
control,individual_events,2.968333333,4.0,720.0,individual_behavior,,
rat_present,individual_events,2.997222222,3.0,824.0,individual_behavior,,
control,individual_events,8.381666667,22.0,225.0,individual_behavior,,
rat_present,individual_events,2.813333333,1.0,162.0,individual_behavior,,
rat_present,individual_events,8.333055556,2.0,151.0,individual_behavior,,
rat_present,individual_events,9.676111111,1.0,17.0,individual_behavior,,
rat_present,individual_events,8.713055556,3.0,116.0,individual_behavior,,
rat_present,individual_events,7.375277778,4.0,22.0,individual_behavior,,
control,individual_events,7.395833333,3.0,96.0,individual_behavior,,
control,individual_events,7.471944444,0.089216347,18.0,individual_behavior,,
rat_present,individual_events,7.4825,2.0,56.0,individual_behavior,,
control,individual_events,7.485,0.041390374,65.0,individual_behavior,,
rat_present,individual_events,7.489444444,0.090143902,81.0,individual_behavior,,
control,individual_events,7.495277778,20.0,102.0,individual_behavior,,
rat_present,individual_events,7.508333333,2.0,149.0,individual_behavior,,
rat_present,individual_events,7.386111111,7.0,61.0,individual_behavior,,
rat_present,individual_events,7.387222222,21.0,65.0,individual_behavior,,
control,individual_events,7.388055556,4.0,68.0,individual_behavior,,
control,individual_events,7.391388889,2.0,80.0,individual_behavior,,
control,individual_events,0.8775,7.0,10.0,individual_behavior,,
rat_present,individual_events,1.225277778,1.0,166.0,individual_behavior,,
control,individual_events,5.661944444,14.0,299.0,individual_behavior,,
rat_present,individual_events,8.481666667,8.0,7.0,individual_behavior,,
control,individual_events,8.554722222,1.0,2.0,individual_behavior,,
rat_present,individual_events,8.796944444,6.0,74.0,individual_behavior,,
rat_present,individual_events,8.798611111,1.0,80.0,individual_behavior,,
rat_present,individual_events,8.803888889,7.0,99.0,individual_behavior,,
rat_present,individual_events,8.808611111,4.0,116.0,individual_behavior,,
rat_present,individual_events,8.831944444,4.0,200.0,individual_behavior,,
rat_present,individual_events,10.37444444,0.035867953,27.0,individual_behavior,,
control,individual_events,7.489722222,2.0,184.0,individual_behavior,,
rat_present,individual_events,7.505,1.0,239.0,individual_behavior,,
control,individual_events,6.767222222,3.0,2.0,individual_behavior,,
rat_present,individual_events,6.862222222,1.0,135.0,individual_behavior,,
control,individual_events,7.114722222,17.0,2.0,individual_behavior,,
rat_present,individual_events,7.156944444,1.0,154.0,individual_behavior,,
rat_present,individual_events,10.18444444,1.0,146.0,individual_behavior,,
rat_present,individual_events,10.2025,21.0,211.0,individual_behavior,,
control,individual_events,10.21222222,9.0,246.0,individual_behavior,,
rat_present,individual_events,10.34222222,1.0,77.0,individual_behavior,,
control,individual_events,10.435,3.0,59.0,individual_behavior,,
